code,title,slug,url,contributor,game_name,code,stamp,mainboard_type,mainboard_circled_letters,mainboard_panel_position,mainboard_calendar,mainboard_year,mainboard_month,mainboard_week,u1_role,u1_kind,u1_label,u1_manufacturer,u1_calendar,u1_year,u1_month,u1_week,u2_role,u2_kind,u2_label,u2_manufacturer,u2_calendar,u2_year,u2_month,u2_week,u3_role,u3_kind,u3_label,u3_manufacturer,u3_calendar,u3_year,u3_month,u3_week,u4_role,u4_kind,u4_label,u4_manufacturer,u4_calendar,u4_year,u4_month,u4_week,u5_role,u5_kind,u5_label,u5_manufacturer,u5_calendar,u5_year,u5_month,u5_week,u6_role,u6_kind,u6_label,u6_manufacturer,u6_calendar,u6_year,u6_month,u6_week,u7_role,u7_kind,u7_label,u7_manufacturer,u7_calendar,u7_year,u7_month,u7_week,x1_role,x1_kind,x1_label,x1_manufacturer,x1_calendar,x1_year,x1_month,x1_week,battery_kind,battery_label,battery_manufacturer,battery_calendar,battery_year,battery_month,battery_week,dump_crc32,dump_md5,dump_sha1,dump_sha256
AGB-BULP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BULP-0/ikk5-1.html,ikk5,Ultimate Spider-Man (Europe),AGB-BULP-UKV,15 E3,AGB-E03-21,CS,F-6,August/2005,2005,August,,ROM,MX23L12806-12C,M053638-MG MX23L12806-12C AGB-BULP-0 J2 2K817900,Macronix,Week 36/2005,2005,,36,EEPROM,9853,9853 5887,ROHM,August/2005,2005,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BUYP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BUYP-0/3615retro-1.html,3615Retro,"Ant Bully, The (Europe) (En,Fr,De,Es,It)",AGB-BUYP-EUR,11 E4,AGB-E03-21,I,M-2,April/2006,2006,April,,ROM,MX23L6406-12C,S062546-MG MX23L6406-12C AGB-BUYP-0 I2 2P058003A1,Macronix,Week 25/2006,2006,,25,EEPROM,9853,9853 6587,ROHM,May/2006,2006,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52dc386b,b9d1da4a076ac3ff5f08fc3a2ab76fc9,a735364887c31a19fa7d250ec830d02220d6a6cd,f3092e3e2da1f3e2d5f874cbaeee06971a14e5c1215e4c793cf70693dc440a64
AGB-BUYP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BUYP-0/ikk5-1.html,ikk5,"Ant Bully, The (Europe) (En,Fr,De,Es,It)",AGB-BUYP-EUR,11 E4,AGB-E03-21,I,O-3,April/2006,2006,April,,ROM,MX23L6406-12C,S062546-MG MX23L6406-12C AGB-BUYP-0 I2 2P058003A1,Macronix,Week 25/2006,2006,,25,EEPROM,9853,9853 6587,ROHM,May/2006,2006,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BVCJ-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BVCJ-0/3615retro-1.html,3615Retro,bit Generations - Dotstream (Japan) (En),AGB-BVCJ-JPN,09 E4,AGB-Y11-02,I,B-6,May/2006,2006,May,,ROM,MR27V12813M,AGB-BVCJ-0 J2 R27V12813M-02J 6255M13J,OKI,Week 25/2006,2006,,25,RAM,MB85R256S,JAPAN MB85R256S 0605 M84 E1,Fujitsu,Week 5/2006,2006,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0760400,00fc773fff582dc53604a7229f64e82f,d0883352702f812a03b3c794163af0ff558bd4c7,ffb57892f1e709460df835e3a64e7dbad8d8bc907d9cf358dc2506e9a793eb53
AGB-BWHP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWHP-0/ikk5-1.html,ikk5,"Winnie the Pooh's Rumbly Tumbly Adventure (Europe) (En,Fr,De,Es,It,Nl)",AGB-BWHP-EUR,19 E3,AGB-E01-41,I,O-6,November/2005,2005,November,,ROM,MX23L3206-12B,E060521-MG MX23L3206-12B AGB-BWHP-0 H2 2N315900,Macronix,Week 5/2006,2006,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BWIE-0,Entry #1,fexcollects-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWIE-0/fexcollects-1.html,FexCollects,WinX Club (USA),AGB-BWIE-USA,08 E3,AGB-E03-21,I,M-3,September/2005,2005,September,,ROM,MX23L12806-12C,S053938-MG MX23L12806-12C AGB-BWIE-0 J2 2L656500,Macronix,Week 39/2005,2005,,39,EEPROM,9854,9854 5S95W,ROHM,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3d9b2461d5408f354a511716fdd586514ffe4af713e8d4e3a39e123a5151c65
AGB-BWLP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWLP-0/ikk5-1.html,ikk5,"Wild, The (USA, Europe) (En,Fr,De,Es)",AGB-BWLP-EUR,19 E4,AGB-E03-21,MB,L-6,March/2006,2006,March,,ROM,MR27V6416M,AGB-BWLP-0 I2 R27V6416M-0LJ 6105BATJ,OKI,Week 10/2006,2006,,10,EEPROM,HT01,HT01 A609K0021%,,Week 9/2006,2006,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BWOP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWOP-0/ikk5-1.html,ikk5,"World Poker Tour (Europe) (En,Fr,De)",AGB-BWOP-EUR,41 E3,AGB-E03-21,GB,M-3,September/2005,2005,September,,ROM,AC23V32101,MAGNACHIP AC23V32101 AGB-BWOP-0 H2 GB0546 PS,Magnachip,,,,,EEPROM,9854,9854 5S10W,ROHM,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BWWP-0,Entry #1,granmastro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWWP-0/granmastro-1.html,Granmastro,"WWE - Survivor Series (USA, Europe)",AGB-BWWP-UKV,,AGB-E03-20,K,N-4,July/2004,2004,July,,ROM,MX23L3206-12B,S044021-M MX23L3206-12B AGB-BWWP-0 H2 2K466602,Macronix,Week 40/2004,2004,,40,EEPROM,9853,9853 4813,ROHM,August/2004,2004,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BWZP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BWZP-0/ikk5-1.html,ikk5,"Winnie the Pooh's Rumbly Tumbly Adventure & Rayman 3 (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",AGB-BWZP-EUR,08 E4,AGB-E03-21,CS,I-3,March/2006,2006,March,,ROM,MR27V12813M,AGB-BWZP-0 J2 R27V12813M-01U 6175M19J,OKI,Week 17/2006,2006,,17,EEPROM,9853,9853 6463,ROHM,April/2006,2006,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BXFP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BXFP-0/ikk5-1.html,ikk5,"Bratz - Forever Diamondz (Europe) (En,Fr,Es,It)",AGB-BXFP-EUR,19 E4,AGB-E03-21,I,F-2,April/2007,2007,April,,ROM,MR27V6416M,AGB-BXFP-0 I2 R27V6416M-0RE 7175BBBJ,OKI,Week 17/2007,2007,,17,EEPROM,9854,9854 6T85W,ROHM,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BXGP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BXGP-0/ikk5-1.html,ikk5,2-in-1 Fun Pack - Shrek 2 + Madagascar (Europe),AGB-BXGP-UKV,00 E4,AGB-E03-21,CS,J-4,July/2006,2006,July,,ROM,MR27V12813M,AGB-BXGP-0 J2 R27V12813M-04C 6335M29J,OKI,Week 33/2006,2006,,33,EEPROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BXKP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BXKP-0/3615retro-1.html,3615Retro,"Castlevania Double Pack (Europe) (En,Fr,De)",AGB-BXKP-EUR,09 E3,AGB-Y11-02,I,I-3,December/2005,2005,December,,ROM,MX23L12806-12C,S055238-MG MX23L12806-12C AGB-BXKP-0 J2 2N155600,Macronix,Week 52/2005,2005,,52,RAM,MB85R256S,JAPAN MB85R256S 0541 M68 E1,Fujitsu,Week 41/2005,2005,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee495897,c9f99ccdf29fe8f9b5dc52c3a84e95a3,e7aea4480f02822904eef1d7b51c18f169881075,4e4469abfe046cdb9006ba0343a75c20949044f307506ecebdbf6a30f2d30774
AGB-BXWD-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BXWD-0/ikk5-1.html,ikk5,"Wilden Fussball-Kerle, Die - Gefahr im Wilde Kerle Land (Germany)",AGB-BXWD-NOE,15 E4,AGB-E03-21,CS,U-1,September/2006,2006,September,,ROM,MR27V12813M,AGB-BXWD-0 J2 R27V12813M-08F 7035BBWJ,OKI,Week 3/2007,2007,,3,EEPROM,HT01,HT01 A642K0122%,,Week 42/2006,2006,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BY2P-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BY2P-0/ikk5-1.html,ikk5,"Yu-Gi-Oh! Double Pack (Europe) (En,Fr,De,Es,It)",AGB-BY2P-EUR,19 E3,AGB-Y11-02,I,M-1,January/2006,2006,January,,ROM,MX23L25607-12D2,S060553-MG MX23L25607-12D2 AGB-BY2P-0 K2 2N524601,Macronix,Week 5/2006,2006,,5,RAM,MB85R256S,JAPAN MB85R256S 0545 M05 E1,Fujitsu,Week 45/2005,2005,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BY6P-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BY6P-0/ikk5-1.html,ikk5,"Yu-Gi-Oh! - Ultimate Masters Edition - World Championship Tournament 2006 (Europe) (En,Ja,Fr,De,Es,It)",AGB-BY6P-EUR,00 E3,AGB-Y11-02,I,N-3,January/2006,2006,January,,ROM,MX23L25607-12D2,E060753-MG MX23L25607-12D2 AGB-BY6P-0 K2 2N311400,Macronix,Week 7/2006,2006,,7,RAM,MB85R256S,JAPAN MB85R256S 0549 M25 E1,Fujitsu,Week 49/2005,2005,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BY7E-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BY7E-0/ikk5-1.html,ikk5,"Yu-Gi-Oh! - 7 Trials to Glory - World Championship Tournament 2005 (USA) (En,Ja,Fr,De,Es,It)",AGB-BY7E-USA,11,AGB-Y11-01,MB,F-2,November/2004,2004,November,,ROM,MX23L12806-12C,S045238-MG MX23L12806-12C AGB-BY7E-0 J2 2L028601,Macronix,Week 52/2004,2004,,52,RAM,MB85R256A,JAPAN MB85R256A 0440 M54 E1,Fujitsu,Week 40/2004,2004,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BYDE-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BYDE-0/ikk5-1.html,ikk5,Yu-Gi-Oh! - Destiny Board Traveler (USA),AGB-BYDE-CAN,20,AGB-Y11-01,MB,G-4,July/2004,2004,July,,ROM,AC23V64101,HYNIX AC23V64101 AGB-BYDE-0 I2 ZBR4341,Hynix,,,,,RAM,MB85R256A,JAPAN MB85R256A 0425 M76 E1,Fujitsu,Week 25/2004,2004,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BYPP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BYPP-0/ikk5-1.html,ikk5,"Pferd & Pony - Lass Uns Reiten 2 (Germany) (En,De)",AGB-BYPP-EUR,09 E4,AGB-E03-21,I,N-4,July/2006,2006,July,,ROM,MR26V3211F,AGB-BYPP-0 H2 R26V3211F-05N 636ABA4J,OKI,Week 36/2006,2006,,36,EEPROM,9854,9854 6R97W,ROHM,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BYWP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BYWP-0/ikk5-1.html,ikk5,"Yu-Gi-Oh! - World Championship Tournament 2004 (Europe) (En,Ja,Fr,De,Es,It)",AGB-BYWP-EUR,09,AGB-Y11-01,I,L-2,March/2004,2004,March,,ROM,AC23V128111,HYNIX AC23V128111 AGB-BYWP-0 J2 NL0216,Hynix,,,,,RAM,MB85R256A,JAPAN MB85R256A 0406 M42,Fujitsu,Week 6/2004,2004,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZ4E-0,Entry #1,granmastro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZ4E-0/granmastro-1.html,Granmastro,Final Fantasy IV Advance (USA),AGB-BZ4E-USA,,AGB-Y11-02,MB,B-2,November/2005,2005,November,,ROM,MR27V6416M,AGB-BZ4E-0 I2 R27V6416M-0JC 5445BCYJ,OKI,Week 44/2005,2005,,44,RAM,MB85R256S,JAPAN MB85R256S 0538 M29 E1,Fujitsu,Week 38/2005,2005,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZ4P-0,Entry #1,granmastro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZ4P-0/granmastro-1.html,Granmastro,"Final Fantasy IV Advance (Europe) (En,Fr,De,Es,It)",AGB-BZ4P-EUR,09 E4,AGB-Y11-02,I,M-3,March/2001,2001,March,,ROM,MX23L6406-12C,M061446-MG MX23L6406-12C AGB-BZ4P-0 I2 2O842000,Macronix,Week 14/2006,2006,,14,RAM,MB85R256S,JAPAN MB85R256S 0551 M53 E1,Fujitsu,Week 51/2005,2005,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZ4P-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZ4P-0/ikk5-1.html,ikk5,"Final Fantasy IV Advance (Europe) (En,Fr,De,Es,It)",AGB-BZ4P-EUR,00 E4,AGB-Y11-02,I,J-6,February/2006,2006,February,,ROM,MX23L6406-12C,M061446-MG MX23L6406-12C AGB-BZ4P-0 I2 2O842000,Macronix,Week 14/2006,2006,,14,RAM,MB85R256S,JAPAN MB85R256S 0551 M48 E1,Fujitsu,Week 51/2005,2005,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZ6E-0,Entry #1,granmastro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZ6E-0/granmastro-1.html,Granmastro,Final Fantasy VI Advance (USA),AGB-BZ6E-USA,41 E4,AGB-Y11-02,I,G-3,October/2006,2006,October,,ROM,MR27V6416M,AGB-BZ6E-0 I2 R27V6416M-0TD 6475BBJJ,OKI,Week 47/2006,2006,,47,RAM,MB85R256S,JAPAN MB85R256S 0645 M54 E1,Fujitsu,Week 45/2006,2006,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZ6E-0,Entry #1,missingno-force-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZ6E-0/missingno-force-1.html,Missingno_force,Final Fantasy VI Advance (USA),AGB-BZ6E-USA,15 E4,AGB-Y11-02,I,C-2,October/2006,2006,October,,ROM,MX23L6406-12C,B064746-MG MX23L6406-12C AGB-BZ6E-0 I2 2T430300A1,Macronix,Week 47/2006,2006,,47,RAM,MB85R256S,JAPAN MB85R256S 0644 M49 E1,Fujitsu,Week 44/2006,2006,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZIX-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZIX-0/ikk5-1.html,ikk5,"Finding Nemo - The Continuing Adventures (Europe) (En,Es,It,Sv,Da)",AGB-BZIX-EUR,41 E4,AGB-E01-41,MB,T-2,September/2006,2006,September,,ROM,MX23L3206-12B,S064621-MG MX23L3206-12B AGB-BZIX-0 H2 2T225002,Macronix,Week 46/2006,2006,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZMP-0,Entry #1,granmastro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZMP-0/granmastro-1.html,Granmastro,"Legend of Zelda, The - The Minish Cap (Europe) (En,Fr,De,Es,It)",AGB-BZMP-EUR,09,AGB-E03-20,CS,A-1,August/2004,2004,August,,ROM,MX23L12806-12C,S044138-M MX23L12806-12C AGB-BZMP-0 J2 2L078990A1,Macronix,Week 41/2004,2004,,41,EEPROM,9854,9854 4S83W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZMP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZMP-0/ikk5-1.html,ikk5,"Legend of Zelda, The - The Minish Cap (Europe) (En,Fr,De,Es,It)",AGB-BZMP-EUR,07,AGB-E03-20,CS,A-6,August/2004,2004,August,,ROM,MX23L12806-12C,S044138-M MX23L12806-12C AGB-BZMP-0 J2 2K997500,Macronix,Week 41/2004,2004,,41,EEPROM,9854,9854 4R84W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZMP-0,Entry #1,kurodo-1,https://gbhwdb.gekkio.fi/cartridges/AGB-BZMP-0/kurodo-1.html,Kurodo,"Legend of Zelda, The - The Minish Cap (Europe) (En,Fr,De,Es,It)",AGB-BZMP-EUR,11,AGB-E03-20,CS,A-4,August/2004,2004,August,,ROM,MX23L12806-12C,M044138-M MX23L12806-12C AGB-BZMP-0 J2 2K867700,Macronix,Week 41/2004,2004,,41,EEPROM,9854,9854 4R85W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-BZMP-0,Entry #2,kurodo-2,https://gbhwdb.gekkio.fi/cartridges/AGB-BZMP-0/kurodo-2.html,Kurodo,"Legend of Zelda, The - The Minish Cap (Europe) (En,Fr,De,Es,It)",AGB-BZMP-EUR,41,AGB-E03-20,CS,A-1,August/2004,2004,August,,ROM,MX23L12806-12C,S044138-M MX23L12806-12C AGB-BZMP-0 J2 2L047100,Macronix,Week 41/2004,2004,,41,EEPROM,9854,9854 4R72W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-FADP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FADP-0/3615retro-1.html,3615Retro,NES Classics - Castlevania (Europe),AGB-FADP-EUR,07,AGB-E03-20,CS,A-3,September/2004,2004,September,,ROM,MR27V810F,AGB-FADP-0 F2 R27V810F-059 4475BB4J,OKI,Week 47/2004,2004,,47,EEPROM,9853,9853 4A32,ROHM,October/2004,2004,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497e3279,e21509b91a56514bc1d0cdd0f303a670,8bc8740a681e4d365419dbcee73619fe4429d66e,c5dbb99bebc78ea9529e57e3bc3a159b92fb11d022dd4ffec65c4789d9d10823
AGB-FBMP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FBMP-0/3615retro-1.html,3615Retro,"Classic NES Series - Bomberman (USA, Europe)",AGB-FBMP-EUR,20,AGB-E03-20,CS,A-5,April/2004,2004,April,,ROM,MX23L8006-12B,M042021-M MX23L8006-12B AGB-FBMP-0 F2 2K151900,Macronix,Week 20/2004,2004,,20,EEPROM,9853,9853 4482,ROHM,April/2004,2004,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c9ebc17d,e674bef244d677e175f5694a7006bfde,741eb2874c526cc014bf3e642b4ee37f18312735,9ea8196d7bffbdbe540270255a53973376112ce9cff929926b52f0110d610cd2
AGB-FICP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FICP-0/3615retro-1.html,3615Retro,"Classic NES Series - Ice Climber (USA, Europe)",AGB-FICP-EUR,11,AGB-E03-20,CS,A-5,April/2004,2004,April,,ROM,MX23L8006-12B,E042021-M MX23L8006-12B AGB-FICP-0 F2 2K194202,Macronix,Week 20/2004,2004,,20,EEPROM,9853,9853 4482,ROHM,April/2004,2004,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b265538d,bc62fa1f6a3f1421c802aba76f1f4732,64e965d61b2d1be5dfadb0236fed83fea5995724,2f68937c830fe1928a16f18e86927fcd1b40419c8b0f5a9d2917dc2a6191a4e0
AGB-FLBP-0,Entry #1,kurodo-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FLBP-0/kurodo-1.html,Kurodo,"Classic NES Series - Zelda II - The Adventure of Link (USA, Europe)",AGB-FLBP-EUR,22,AGB-E03-20,CS,A-6,September/2004,2004,September,,ROM,MX23L8006-12B,E044721-MG MX23L8006-12B AGB-FLBP-0 F2 2L246900,Macronix,Week 47/2004,2004,,47,EEPROM,9854,9854 4S51W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-FP7P-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FP7P-0/ikk5-1.html,ikk5,"Classic NES Series - Pac-Man (USA, Europe)",AGB-FP7P-EUR,07,AGB-E03-20,I,N-3,October/2004,2004,October,,ROM,MR27V810F,AGB-FP7P-0 F2 R27V810F-054 4525BAXJ,OKI,Week 52/2004,2004,,52,EEPROM,9853,9853 4B63,ROHM,November/2004,2004,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-FSMP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FSMP-0/3615retro-1.html,3615Retro,"Classic NES Series - Super Mario Bros. (USA, Europe)",AGB-FSMP-EUR,19,AGB-E03-20,MB,H-3,April/2004,2004,April,,ROM,MX23L8006-12B,M042021-M MX23L8006-12B AGB-FSMP-0 F2 2K133300,Macronix,Week 20/2004,2004,,20,EEPROM,9853,9853 4490,ROHM,April/2004,2004,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7129225,97e977d6bb8b2e45a5ad6952dd9a5481,8ca35864ae33c9462dd66ceff1fac5a79e2e0a6f,5e8ee5d663a7767639ede878cee93d6add10f37c96e03e21551af0073de16879
AGB-FSMP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FSMP-0/ikk5-1.html,ikk5,"Classic NES Series - Super Mario Bros. (USA, Europe)",AGB-FSMP-EUR,07 E3,AGB-E03-20,I,A-3,November/2004,2004,November,,ROM,MR27V810F,AGB-FSMP-0 F2 R27V810F-038 5295BBRJ,OKI,Week 29/2005,2005,,29,EEPROM,HT01,HT01 A511X0004%,,Week 11/2005,2005,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-FZLP-0,Entry #1,kurodo-1,https://gbhwdb.gekkio.fi/cartridges/AGB-FZLP-0/kurodo-1.html,Kurodo,"Classic NES Series - The Legend of Zelda (USA, Europe)",AGB-FZLP-EUR,12,AGB-E03-20,CS,A-3,April/2004,2004,April,,ROM,MX23L8006-12B,E042121-M MX23L8006-12B AGB-FZLP-0 F2 2K113300A1,Macronix,Week 21/2004,2004,,21,EEPROM,9854,9854 4G65W,ROHM,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-KYGP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-KYGP-0/3615retro-1.html,3615Retro,"Yoshi's Universal Gravitation (Europe) (En,Fr,De,Es,It)",AGB-KYGP-EUR,00 E3,AGB-E12-02,I,L-2,April/2005,2005,April,,Unknown,,ACC1 BU3668K 504 T90,,,,,,ROM,MX23L6407-12C1,M053257-MG MX23L6407-12C1 AGB-KYGP-0 I2 2M219701A1,Macronix,Week 32/2005,2005,,32,EEPROM,9853,9853 5693,ROHM,June/2005,2005,June,,Accelerometer,ADXL202JE,06245 202JE 0501A,Analog Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05f4d0aa,f9de621b65084bcdaff6e6b0cdc7c413,045be1369964f141009f3701839ec0a8dccb25c1,036017d870770c164bc65f5de7444f001991e827e09f785d6239f1466faebce7
AGB-KYGP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-KYGP-0/ikk5-1.html,ikk5,"Yoshi's Universal Gravitation (Europe) (En,Fr,De,Es,It)",AGB-KYGP-EUR,00 E3,AGB-E12-02,I,E-6,April/2005,2005,April,,Unknown,,ACC1 BU3668K 504 T90,,,,,,ROM,MR27V6416M,AGB-KYGP-0 I2 R27V6416M-0BS 5255BAHJ,OKI,Week 25/2005,2005,,25,EEPROM,9853,9853 5613,ROHM,June/2005,2005,June,,Accelerometer,ADXL202JE,05667 202JE 9453A,Analog Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
